country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,SHERGARH,0571,UDASAR,085139,081130571085139,North,Rajasthani,342021,A
IN,Hindi,India,RAJASTHAN,08,HANUMANGARH,100,RAWATSAR,0470,UDASAR CHHOTA,068551,081000470068551,North,Rajasthani,335524,A
IN,Hindi,India,RAJASTHAN,08,JHALAWAR,129,AKLERA,0680,UGARPURA,104530,081290680104530,North,Rajasthani,326033,A
IN,Hindi,India,RAJASTHAN,08,UDAIPUR,130,SALUMBAR,0692,KADMA,107188,081300692107188,North,Rajasthani,313027,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,GUDHA MALANI,0581,KAGON KI DHANI,088111,081150581088111,North,Rajasthani,344033,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,CHITTAURGARH,0659,SATPURA,100782,081260659100782,North,Rajasthani,312201,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,CHHOTI SADRI,0698,BARKATI,108380,081310698108380,North,Rajasthani,312615,A
IN,Hindi,India,RAJASTHAN,08,UDAIPUR,130,SALUMBAR,0692,UTHARDA,107099,081300692107099,North,Rajasthani,313706,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,RUPBAS,0514,KAIMASI,075216,081050514075216,North,Rajasthani,321302,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,BAYTOO,0578,MAKONIYON KI DHANI,087218,081150578087218,North,Rajasthani,344703,A
IN,Hindi,India,RAJASTHAN,08,BARAN,128,ANTAH,0671,BARKHERA,102670,081280671102670,North,Rajasthani,325209,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,ARNOD,0700,MAL CHACHA KHERI,108785,081310700108785,North,Rajasthani,312615,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,MAUZAMABAD,0543,MAL KI DHANI,079746,081100543079746,North,Rajasthani,303008,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NAGAR,0507,BARKHERA SAD,074202,081050507074202,North,Rajasthani,321205,A
IN,Hindi,India,RAJASTHAN,08,JHALAWAR,129,JHALRAPATAN,0679,BARKHERI,104215,081290679104215,North,Rajasthani,326023,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,BALI,0605,RAMANIYA,091277,081180605091277,North,Rajasthani,306705,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,SOJAT,0599,RAMASANIBALA,090679,081180599090679,North,Rajasthani,306104,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,BEHROR,0493,RAMCHANDRAPURA,071772,081040493071772,North,Rajasthani,301704,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,PACHPADRA,0579,RAMDEOPURA,087500,081150579087500,North,Rajasthani,344026,A
IN,Hindi,India,RAJASTHAN,08,BUNDI,121,NAINWA,0623,RAMGARH,094031,081210623094031,North,Rajasthani,323803,A
IN,Hindi,India,RAJASTHAN,08,AJMER,119,BEAWAR,0609,RAMGARH JHOONTHA,091786,081190609091786,North,Rajasthani,305901,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,KOTKASIM,0495,RAMNAGAR,072203,081040495072203,North,Rajasthani,301702,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,KOTPUTLI,0538,RAMNAGAR,079005,081100538079005,North,Rajasthani,303108,A
IN,Hindi,India,RAJASTHAN,08,KOTA,127,LADPURA,0667,RAMNAGAR,102048,081270667102048,North,Rajasthani,325001,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,ARNOD,0700,RAMNAGAR,108742,081310700108742,North,Rajasthani,312615,A
IN,Hindi,India,RAJASTHAN,08,SAWAI MADHOPUR,108,SAWAI MADHOPUR,0531,RAMNAGAR,077750,081080531077750,North,Rajasthani,322026,A
IN,Hindi,India,RAJASTHAN,08,SIKAR,111,SRI MADHOPUR,0555,RAMNAGAR,082004,081110555082004,North,Rajasthani,332709,A
IN,Hindi,India,RAJASTHAN,08,DHOLPUR,106,BASERI,0515,RAMPHAL KA PURA,075415,081060515075415,North,Rajasthani,328022,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,KOTRI,0635,BARLA,095845,081220635095845,North,Rajasthani,311604,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,BEEJOLIYA,0638,BARWA,096350,081220638096350,North,Rajasthani,311602,A
IN,Hindi,India,RAJASTHAN,08,RAJSAMAND,123,NATHDWARA,0645,BARWA,097442,081230645097442,North,Rajasthani,313322,A
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,JODHPUR,0570,BARLI,084940,081130570084940,North,Rajasthani,342024,A
IN,Hindi,India,RAJASTHAN,08,ALWAR,104,THANAGAZI,0501,BAS BOORIYA,073053,081040501073053,North,Rajasthani,301024,A
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,JHUNJHUNUN,0487,BAS KALIYASAR,070847,081030487070847,North,Rajasthani,331026,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,CHURU,0484,BAS MAHLAN,070564,081020484070564,North,Rajasthani,331029,A
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,JHUNJHUNUN,0487,BAS NANAG,071107,081030487071107,North,Rajasthani,333021,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,KAMAN,0506,BAS NANDERA,074035,081050506074035,North,Rajasthani,321023,A
IN,Hindi,India,RAJASTHAN,08,JHUJHUNU,103,BUHANA,0489,BASADI,071365,081030489071365,North,Rajasthani,333034,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,JAMWA RAMGARH,0548,ANANTPURA,080496,081100548080496,North,Rajasthani,303302,A
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,PHALODI,0567,ANDARA NADA,084382,081130567084382,North,Rajasthani,342314,A
IN,Hindi,India,RAJASTHAN,08,CHURU,102,SARDARSHAHAR,0483,SAWAI BALWANIYA,070415,081020483070415,North,Rajasthani,331403,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,BARMER,0582,BARMER (M),800550,081150582800550,North,Rajasthani,344001,A
IN,Hindi,India,RAJASTHAN,08,BARMER,115,CHOHTAN,0584,SAYED MOZALI KA TALA,088885,081150584088885,North,Rajasthani,344702,A
IN,Hindi,India,RAJASTHAN,08,KOTA,127,LADPURA,0667,SEEMALHERI,102094,081270667102094,North,Rajasthani,325001,A
IN,Hindi,India,RAJASTHAN,08,DAUSA,109,BASWA,0533,SEEMLA,078084,081090533078084,North,Rajasthani,303315,A
IN,Hindi,India,RAJASTHAN,08,JAIPUR,110,CHAKSU,0550,SEEMLYAWAS WATKA,081019,081100550081019,North,Rajasthani,303903,A
IN,Hindi,India,RAJASTHAN,08,NAGAUR,112,LADNU,0557,SEENWA,082440,081120557082440,North,Rajasthani,341317,A
IN,Hindi,India,RAJASTHAN,08,PALI,118,MARWAR JUNCTION,0602,SEHWAJ,090948,081180602090948,North,Rajasthani,306103,A